malware,ioc_timestamp,ioc_ip
ermac,2025-02-14T16:01:00Z,103.245.231.9
ermac,2025-02-16T20:01:21Z,45.94.31.85
asyncrat,2025-04-15T00:02:07Z,176.65.142.245
sectoprat,2025-04-05T05:50:39Z,149.248.78.209
ermac,2025-03-26T08:01:18Z,172.104.147.101
hookbot,2025-04-13T08:02:03Z,91.92.46.8
covenant,2025-01-14T20:03:44Z,20.8.18.90
ermac,2025-03-25T20:05:30Z,154.205.148.129
covenant,2025-01-11T00:03:27Z,4.233.145.18
covenant,2025-04-14T00:02:31Z,8.218.196.181
covenant,2025-03-06T00:01:55Z,34.152.19.0
asyncrat,2025-04-14T12:02:05Z,144.172.92.114
covenant,2025-01-26T07:39:38Z,129.148.30.205
ermac,2025-02-11T00:01:13Z,45.81.115.141
ermac,2025-02-18T00:01:32Z,193.35.17.242
covenant,2025-03-20T16:02:40Z,161.35.3.214
covenant,2025-04-04T16:01:35Z,35.188.50.102
asyncrat,2025-04-14T20:02:05Z,176.65.144.32
ermac,2025-04-05T16:01:36Z,196.251.83.99
asyncrat,2025-04-14T12:02:05Z,184.174.20.211
covenant,2025-04-13T12:02:33Z,209.94.61.154
asyncrat,2025-04-14T12:02:04Z,45.152.113.234
asyncrat,2025-04-15T12:02:11Z,45.141.233.154
covenant,2025-01-01T16:03:00Z,173.199.70.18
asyncrat,2025-04-15T11:40:36Z,196.251.89.167
hookbot,2025-04-13T16:02:07Z,176.65.142.118
covenant,2025-01-22T12:04:24Z,87.120.112.109
ermac,2025-04-03T16:01:27Z,2.59.117.173
asyncrat,2025-04-14T00:02:03Z,196.251.73.189
ermac,2025-04-13T08:02:03Z,185.39.206.11
ermac,2025-04-01T00:01:46Z,45.144.53.8
covenant,2025-03-15T16:01:46Z,152.42.251.12
ermac,2025-03-10T12:01:19Z,45.92.1.37
covenant,2025-01-01T08:02:48Z,34.132.16.207
hookbot,2025-04-15T09:29:27Z,13.251.254.197
hookbot,2025-04-15T16:02:19Z,176.65.134.159
ermac,2025-04-13T16:02:27Z,196.251.84.145
covenant,2025-04-12T20:02:24Z,116.2.184.197
covenant,2025-01-17T04:03:49Z,144.172.92.91
hookbot,2025-04-13T08:02:04Z,212.34.143.220
asyncrat,2025-04-14T15:00:16Z,196.251.84.29
covenant,2025-01-05T08:04:50Z,54.176.66.101
covenant,2025-04-09T16:02:10Z,107.152.32.206
hookbot,2025-04-13T20:02:05Z,176.65.138.18
sectoprat,2025-04-05T05:50:39Z,150.241.83.227
covenant,2025-04-15T08:02:40Z,194.59.30.50
ermac,2025-03-27T08:01:26Z,45.79.191.168
covenant,2025-02-28T20:01:27Z,107.189.27.205
covenant,2025-04-02T08:01:29Z,104.194.132.41
covenant,2025-03-18T16:02:45Z,167.88.173.70
asyncrat,2025-04-14T16:02:05Z,128.90.106.94
sectoprat,2025-04-05T05:50:40Z,91.92.46.229
covenant,2025-01-06T06:34:36Z,116.2.180.189
ermac,2025-02-13T12:00:51Z,194.5.192.21
ermac,2025-02-10T12:00:55Z,95.215.206.172
hookbot,2025-04-14T16:02:12Z,82.147.85.160
asyncrat,2025-04-14T08:02:01Z,196.251.72.5
hookbot,2025-04-13T20:02:06Z,176.65.137.229
ermac,2025-03-27T04:01:21Z,45.33.122.33
asyncrat,2025-04-14T12:02:05Z,196.251.116.122
covenant,2025-02-27T16:01:15Z,45.9.148.232
ermac,2025-03-29T16:01:42Z,154.21.200.190
hookbot,2025-04-14T12:02:12Z,13.60.67.41
hookbot,2025-04-13T06:54:44Z,42.51.42.243
asyncrat,2025-04-15T07:45:48Z,196.251.73.58
ermac,2025-03-11T08:01:25Z,89.213.248.224
asyncrat,2025-04-15T09:45:48Z,45.81.115.40
ermac,2025-03-29T12:01:31Z,195.35.56.181
covenant,2025-01-18T08:04:02Z,217.77.10.47
covenant,2025-02-28T04:01:20Z,109.176.207.177
hookbot,2025-04-14T16:02:13Z,185.147.124.36
covenant,2025-02-02T16:01:27Z,159.89.173.66
sectoprat,2025-04-05T05:50:38Z,82.117.255.225
ermac,2025-04-07T08:01:53Z,165.22.17.157
covenant,2025-02-23T00:02:00Z,37.114.57.39
ermac,2025-04-14T16:02:30Z,45.158.14.219
hookbot,2025-04-13T12:02:11Z,91.211.250.233
sectoprat,2025-04-05T05:50:40Z,91.240.118.6
asyncrat,2025-04-14T12:02:04Z,206.72.206.244
ermac,2025-04-12T08:02:19Z,176.65.140.166
ermac,2025-03-01T04:01:06Z,176.65.137.225
ermac,2025-02-21T07:02:19Z,31.56.60.49
hookbot,2025-04-14T08:02:07Z,52.221.14.120
ermac,2025-02-10T16:00:56Z,194.26.192.222
covenant,2025-01-20T12:04:09Z,217.160.22.184
asyncrat,2025-04-14T12:02:05Z,176.65.144.52
covenant,2025-02-28T12:01:20Z,153.92.209.104
ermac,2025-03-28T04:01:28Z,38.180.188.172
covenant,2025-02-01T08:01:25Z,35.181.245.151
asyncrat,2025-04-15T08:02:10Z,185.208.158.139
ermac,2025-02-16T00:01:17Z,20.199.76.181
ermac,2025-02-18T16:01:32Z,45.143.99.196
